Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-13,M'gladbach,Bayern Munich,D,11,20,5,10,7,4,3,8,2,0,0,0
2021-08-14,Augsburg,Hoffenheim,A,7,15,0,8,8,9,6,5,1,2,0,0
2021-08-14,Bielefeld,Freiburg,D,10,14,4,6,13,10,4,9,3,4,0,0
2021-08-14,Stuttgart,Greuther Furth,H,30,8,15,4,11,8,9,2,0,1,0,0
2021-08-14,Union Berlin,Leverkusen,D,8,16,5,4,13,5,1,6,0,1,0,0
2021-08-14,Wolfsburg,Bochum,H,21,7,9,1,9,7,5,2,0,2,0,1
2021-08-14,Dortmund,Ein Frankfurt,H,12,12,7,3,5,14,7,3,0,0,0,0
2021-08-15,Mainz,RB Leipzig,H,7,15,2,2,10,8,5,11,1,2,0,0
2021-08-15,FC Koln,Hertha,H,15,11,5,5,18,14,4,5,4,2,0,0
2021-08-20,RB Leipzig,Stuttgart,H,26,11,11,5,10,11,6,2,0,3,0,0
2021-08-21,Leverkusen,M'gladbach,H,13,11,6,6,9,11,7,3,4,2,0,0
2021-08-21,Hertha,Wolfsburg,A,12,12,4,3,12,21,4,4,1,2,0,0
2021-08-21,Greuther Furth,Bielefeld,D,20,9,5,2,12,15,5,0,4,2,0,1
2021-08-21,Bochum,Mainz,H,9,16,5,3,15,19,2,7,4,3,0,0
2021-08-21,Ein Frankfurt,Augsburg,D,20,4,5,0,8,10,6,1,3,3,0,0
2021-08-21,Freiburg,Dortmund,H,8,19,4,2,14,14,0,10,1,4,0,0
2021-08-22,Hoffenheim,Union Berlin,D,7,11,3,8,8,11,6,5,1,3,0,1
2021-08-22,Bayern Munich,FC Koln,H,18,10,6,3,14,10,3,4,1,1,0,0
2021-08-27,Dortmund,Hoffenheim,H,23,9,13,5,9,12,4,7,2,3,0,0
2021-08-28,Stuttgart,Freiburg,A,17,14,7,7,10,14,8,5,2,1,0,0
2021-08-28,Bayern Munich,Hertha,H,17,8,6,3,4,5,8,3,0,0,0,0
2021-08-28,Mainz,Greuther Furth,H,17,8,9,1,21,14,7,4,2,2,0,0
2021-08-28,Augsburg,Leverkusen,A,13,13,4,5,12,10,4,4,0,1,0,0
2021-08-28,Bielefeld,Ein Frankfurt,D,14,12,5,3,13,17,4,4,0,3,0,0
2021-08-28,FC Koln,Bochum,H,21,10,5,1,11,21,5,5,2,1,0,0
2021-08-29,Union Berlin,M'gladbach,H,12,18,4,5,15,6,4,8,2,0,0,0
2021-08-29,Wolfsburg,RB Leipzig,H,8,12,2,2,13,18,7,7,4,2,0,0
2021-09-11,Freiburg,FC Koln,D,10,15,3,5,14,12,4,2,1,3,0,1
2021-09-11,Greuther Furth,Wolfsburg,A,7,10,3,4,17,15,3,5,2,3,0,0
2021-09-11,Hoffenheim,Mainz,A,12,11,0,4,15,16,4,5,2,1,0,0
2021-09-11,Leverkusen,Dortmund,A,11,15,5,7,10,11,4,3,4,3,0,0
2021-09-11,Union Berlin,Augsburg,D,15,13,6,6,10,12,6,4,1,2,0,0
2021-09-11,RB Leipzig,Bayern Munich,A,10,18,4,6,9,13,2,6,0,0,0,0
2021-09-12,Ein Frankfurt,Stuttgart,D,18,9,5,3,13,12,6,6,1,4,0,1
2021-09-12,Bochum,Hertha,A,19,5,5,4,9,17,7,2,0,3,0,0
2021-09-12,M'gladbach,Bielefeld,H,17,18,4,7,10,18,3,4,1,1,0,0
2021-09-17,Hertha,Greuther Furth,H,15,10,3,3,12,13,9,4,1,2,0,0
2021-09-18,FC Koln,RB Leipzig,D,14,18,6,9,12,6,4,10,3,1,0,0
2021-09-18,Mainz,Freiburg,D,10,7,3,2,18,16,4,4,2,1,0,0
2021-09-18,Augsburg,M'gladbach,H,8,11,1,1,13,9,2,6,1,2,0,0
