Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-13,Valencia,Getafe,H,4,22,2,4,24,15,1,9,6,3,1,1
2021-08-14,Cadiz,Levante,D,7,12,2,3,10,16,2,4,1,5,0,0
2021-08-14,Mallorca,Betis,D,6,10,2,1,12,18,4,3,1,3,0,0
2021-08-14,Alaves,Real Madrid,A,11,19,4,7,14,10,0,4,1,2,0,0
2021-08-14,Osasuna,Espanol,D,14,10,1,3,18,12,4,6,3,3,0,0
2021-08-15,Celta,Ath Madrid,A,10,13,2,4,11,9,2,5,4,5,1,1
2021-08-15,Barcelona,Sociedad,H,13,11,8,3,11,18,5,3,2,4,0,0
2021-08-15,Sevilla,Vallecano,H,21,4,8,3,14,7,4,0,1,0,0,1
2021-08-16,Elche,Ath Bilbao,D,8,9,2,3,13,19,6,8,2,2,0,0
2021-08-16,Villarreal,Granada,D,14,6,4,1,19,21,6,2,5,1,1,0
2021-08-20,Betis,Cadiz,D,16,8,7,3,12,10,4,5,4,0,0,0
2021-08-21,Alaves,Mallorca,A,9,12,4,2,14,15,1,8,3,3,1,0
2021-08-21,Espanol,Villarreal,D,14,12,3,2,10,10,9,7,3,4,0,0
2021-08-21,Granada,Valencia,D,9,18,2,7,14,12,2,6,4,2,0,0
2021-08-21,Ath Bilbao,Barcelona,D,16,9,7,3,15,10,13,2,1,2,0,1
2021-08-22,Sociedad,Vallecano,H,13,9,8,1,19,15,5,4,3,4,0,0
2021-08-22,Ath Madrid,Elche,H,8,4,4,2,16,10,2,1,2,2,0,0
2021-08-22,Levante,Real Madrid,D,8,19,4,5,17,7,4,6,3,2,1,0
2021-08-23,Getafe,Sevilla,A,12,9,0,3,18,10,5,4,2,2,0,0
2021-08-23,Osasuna,Celta,D,15,4,7,0,19,8,1,2,4,3,0,0
2021-08-27,Valencia,Alaves,H,9,10,4,3,20,15,4,4,1,4,0,0
2021-08-27,Mallorca,Espanol,H,12,8,6,3,16,17,3,2,4,3,0,1
2021-08-28,Celta,Ath Bilbao,A,13,6,0,2,12,11,5,4,2,1,0,0
2021-08-28,Elche,Sevilla,D,7,18,4,5,6,9,5,3,2,0,0,0
2021-08-28,Sociedad,Levante,H,7,6,2,0,17,13,2,2,1,1,0,0
2021-08-28,Betis,Real Madrid,A,11,13,6,3,15,13,3,7,5,3,0,0
2021-08-29,Barcelona,Getafe,H,7,8,3,3,16,22,3,2,3,1,0,0
2021-08-29,Cadiz,Osasuna,A,7,14,3,4,9,6,4,11,4,0,0,0
2021-08-29,Vallecano,Granada,H,19,9,6,3,19,14,5,6,1,4,0,0
2021-08-29,Ath Madrid,Villarreal,D,24,2,5,2,11,6,16,0,4,2,0,0
2021-09-11,Levante,Vallecano,D,7,22,2,6,14,16,2,5,3,4,0,0
2021-09-11,Ath Bilbao,Mallorca,H,19,7,5,1,7,13,7,2,1,2,0,0
2021-09-12,Real Madrid,Celta,H,15,11,11,4,8,16,7,3,2,3,0,0
2021-09-12,Cadiz,Sociedad,A,6,16,1,4,10,9,2,8,4,0,1,0
2021-09-12,Espanol,Ath Madrid,A,9,13,3,3,10,11,6,3,1,4,0,0
2021-09-12,Osasuna,Valencia,A,11,10,2,4,20,14,4,4,4,2,0,0
2021-09-13,Getafe,Elche,A,10,8,1,3,6,14,8,2,2,3,0,0
2021-09-13,Granada,Betis,A,11,19,2,9,7,14,6,8,1,2,0,0
2021-09-17,Celta,Cadiz,A,14,7,4,3,8,8,7,1,3,3,0,0
2021-09-18,Elche,Levante,D,9,11,2,6,10,14,4,7,2,2,0,0
