Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-06,Monaco,Nantes,D,15,5,3,1,6,14,5,2,0,0,0,0
2021-08-07,Lyon,Brest,D,17,13,4,8,10,12,9,4,1,1,0,0
2021-08-07,Troyes,Paris SG,A,15,12,7,3,3,15,9,1,1,4,0,0
2021-08-08,Rennes,Lens,D,10,11,2,6,10,14,3,9,0,2,0,0
2021-08-08,Bordeaux,Clermont,A,10,19,6,10,13,9,5,10,1,0,0,0
2021-08-08,Nice,Reims,D,12,5,2,0,10,8,4,2,1,1,0,0
2021-08-08,St Etienne,Lorient,D,20,12,3,3,10,14,8,4,2,3,0,0
2021-08-08,Strasbourg,Angers,A,7,9,1,2,18,18,5,4,2,3,0,0
2021-08-08,Metz,Lille,D,12,18,5,7,9,10,4,5,1,2,1,0
2021-08-08,Montpellier,Marseille,A,8,21,1,7,10,5,6,11,0,1,0,0
2021-08-13,Lorient,Monaco,H,2,12,2,3,17,15,0,6,3,2,0,0
2021-08-14,Lille,Nice,A,11,11,2,7,9,13,8,7,3,1,0,0
2021-08-14,Paris SG,Strasbourg,H,11,8,6,2,6,18,4,4,1,4,0,1
2021-08-15,Marseille,Bordeaux,D,10,8,2,2,6,11,3,4,2,2,1,0
2021-08-15,Reims,Montpellier,D,19,15,9,5,11,12,8,7,2,1,0,0
2021-08-15,Lens,St Etienne,D,22,12,7,7,10,17,7,2,1,6,0,0
2021-08-15,Clermont,Troyes,H,18,6,8,1,6,11,9,2,1,3,0,1
2021-08-15,Brest,Rennes,D,10,6,5,2,7,16,6,11,2,3,0,0
2021-08-15,Angers,Lyon,H,13,8,6,3,11,17,6,4,1,5,0,1
2021-08-15,Nantes,Metz,H,11,10,7,5,18,11,6,6,2,0,0,0
2021-08-20,Brest,Paris SG,A,11,16,3,8,8,7,3,9,1,2,0,0
2021-08-21,Monaco,Lens,A,9,4,2,2,11,14,13,3,1,1,1,1
2021-08-21,St Etienne,Lille,D,10,8,2,6,14,10,5,3,1,3,0,0
2021-08-22,Rennes,Nantes,H,14,4,5,1,14,13,6,2,2,2,0,0
2021-08-22,Strasbourg,Troyes,D,14,10,4,6,16,17,6,3,3,1,0,0
2021-08-22,Metz,Reims,D,10,12,4,3,19,14,5,8,4,2,1,1
2021-08-22,Bordeaux,Angers,D,14,6,5,3,19,5,3,3,2,0,0,0
2021-08-22,Lyon,Clermont,D,21,17,9,5,10,6,5,8,2,2,0,0
2021-08-22,Montpellier,Lorient,H,32,5,11,4,8,13,5,1,0,6,0,2
2021-08-27,Nantes,Lyon,A,18,12,5,5,7,11,6,6,2,2,0,1
2021-08-28,Nice,Bordeaux,H,11,13,5,4,18,11,3,0,3,2,0,0
2021-08-28,Marseille,St Etienne,H,19,11,5,7,11,18,5,4,1,3,0,0
2021-08-29,Reims,Paris SG,A,11,12,4,3,13,13,3,3,1,3,0,0
2021-08-29,Lens,Lorient,D,19,15,9,7,10,10,8,4,2,4,0,0
2021-08-29,Lille,Montpellier,H,15,6,4,3,15,19,3,4,3,7,0,1
2021-08-29,Strasbourg,Brest,H,11,11,5,5,12,10,1,9,1,1,0,0
2021-08-29,Angers,Rennes,H,16,7,4,2,14,10,3,1,1,2,0,1
2021-08-29,Troyes,Monaco,A,12,7,3,4,11,11,5,3,1,2,0,0
2021-08-29,Clermont,Metz,D,16,12,4,4,11,15,6,3,1,2,0,0
2021-09-10,Lorient,Lille,H,14,9,7,3,13,11,2,5,2,2,0,0
2021-09-11,Paris SG,Clermont,H,13,14,7,2,13,9,4,4,0,1,0,0
2021-09-11,Monaco,Marseille,A,7,13,0,5,17,8,3,2,4,1,0,0
2021-09-12,Lyon,Strasbourg,H,14,12,7,4,8,11,4,6,2,1,0,0
2021-09-12,Nantes,Nice,A,19,9,7,3,7,13,8,3,2,3,0,0
2021-09-12,Rennes,Reims,A,9,7,1,3,18,11,4,6,1,2,0,0
2021-09-12,Metz,Troyes,A,16,10,2,5,15,14,2,1,2,1,0,0
2021-09-12,Bordeaux,Lens,A,11,12,3,5,8,11,2,7,3,2,0,0
2021-09-12,Montpellier,St Etienne,H,11,14,4,2,15,17,7,6,1,4,0,0
2021-09-12,Brest,Angers,D,12,8,6,2,19,9,5,3,3,2,1,0
2021-09-17,Strasbourg,Metz,H,10,15,6,5,16,8,3,7,2,4,0,0
2021-09-18,Lens,Lille,H,13,6,4,2,12,8,4,3,2,2,0,0
2021-09-18,St Etienne,Bordeaux,A,12,13,5,3,9,11,7,2,1,4,0,0
2021-09-19,Paris SG,Lyon,H,14,12,5,5,13,19,10,4,3,1,0,0
2021-09-19,Marseille,Rennes,H,17,13,6,2,5,17,6,7,0,2,0,0
2021-09-19,Troyes,Montpellier,D,8,6,3,2,16,11,1,6,4,4,0,1
2021-09-19,Clermont,Brest,D,7,5,4,1,7,19,3,5,1,1,1,0
2021-09-19,Angers,Nantes,A,10,8,5,4,10,16,10,5,2,2,0,0
2021-09-19,Nice,Monaco,D,12,8,3,3,17,12,5,2,2,3,0,0
2021-09-19,Reims,Lorient,D,10,6,2,3,12,14,5,6,2,3,0,0
2021-09-22,Lille,Reims,H,7,11,4,5,16,14,4,4,2,1,0,0
2021-09-22,Monaco,St Etienne,H,14,9,6,3,16,13,6,3,1,1,0,1
2021-09-22,Montpellier,Bordeaux,D,15,15,6,7,10,8,6,6,0,2,0,0
2021-09-22,Nantes,Brest,H,14,10,6,2,8,13,4,4,1,2,0,0
2021-09-22,Rennes,Clermont,H,21,4,10,1,14,5,5,7,2,1,0,0
2021-09-22,Angers,Marseille,D,9,6,1,1,9,7,4,2,1,3,0,0
2021-09-22,Lens,Strasbourg,A,17,6,4,1,14,7,7,3,2,3,1,0
2021-09-22,Lorient,Nice,H,8,13,1,1,12,16,6,5,2,4,1,0
2021-09-22,Lyon,Troyes,H,15,12,8,7,7,9,7,3,1,3,0,0
2021-09-22,Metz,Paris SG,A,6,15,2,5,12,12,3,3,6,2,1,0
2021-09-25,St Etienne,Nice,A,11,14,6,9,9,13,2,9,0,2,0,0
2021-09-25,Strasbourg,Lille,A,10,16,3,7,16,12,8,8,4,4,1,0
2021-09-25,Lyon,Lorient,D,12,12,2,5,9,10,9,3,1,2,1,0
2021-09-25,Paris SG,Montpellier,H,16,10,5,4,10,8,8,7,0,1,0,0
2021-09-26,Bordeaux,Rennes,D,10,18,3,8,6,20,8,6,1,4,0,0
2021-09-26,Brest,Metz,A,11,6,2,4,16,16,4,3,3,2,0,0
2021-09-26,Reims,Nantes,H,9,11,5,2,14,10,3,7,1,1,0,0
2021-09-26,Troyes,Angers,D,6,17,3,6,9,8,2,9,4,2,1,0
2021-09-26,Clermont,Monaco,A,12,6,4,3,9,12,5,1,2,4,0,0
2021-09-26,Marseille,Lens,A,14,14,4,5,4,14,5,7,2,1,0,0
2021-10-01,Lens,Reims,H,13,3,7,0,13,13,5,3,3,1,0,1
2021-10-02,Montpellier,Strasbourg,D,12,6,4,3,12,14,3,4,2,0,0,0
2021-10-02,Nice,Brest,H,20,6,9,2,8,12,6,2,1,1,0,0
2021-10-03,St Etienne,Lyon,D,18,15,6,5,14,10,6,4,2,3,0,1
2021-10-03,Lille,Marseille,H,12,10,5,3,10,13,3,5,2,3,0,1
2021-10-03,Nantes,Troyes,H,8,15,4,4,14,10,3,7,2,2,0,0
2021-10-03,Angers,Metz,H,18,2,5,2,16,11,12,2,1,3,0,0
2021-10-03,Lorient,Clermont,D,6,8,1,4,19,12,4,4,2,1,0,0
2021-10-03,Rennes,Paris SG,H,12,13,4,0,9,4,4,4,2,3,0,0
2021-10-03,Monaco,Bordeaux,H,12,4,4,1,12,13,10,2,2,1,0,0
2021-10-15,Paris SG,Angers,H,13,7,2,2,8,10,6,5,1,2,0,0
2021-10-16,Clermont,Lille,H,9,9,3,2,9,8,6,9,1,2,0,0
2021-10-16,Lyon,Monaco,H,14,9,8,3,8,10,2,4,1,2,0,0
2021-10-17,Montpellier,Lens,H,15,19,6,5,8,16,3,2,4,4,1,0
2021-10-17,Marseille,Lorient,H,16,15,6,7,7,10,6,4,0,1,0,0
2021-10-17,Strasbourg,St Etienne,H,12,4,6,2,18,10,7,4,3,2,0,1
2021-10-17,Bordeaux,Nantes,D,8,13,1,7,10,16,2,5,2,3,0,0
2021-10-17,Brest,Reims,D,9,13,4,2,18,13,7,7,3,4,0,0
2021-10-17,Troyes,Nice,H,8,11,3,3,10,20,3,3,2,1,0,0
2021-10-17,Metz,Rennes,A,9,21,2,8,14,9,4,10,3,1,0,0
2021-10-22,St Etienne,Angers,D,17,4,6,2,12,18,6,1,0,3,0,0
2021-10-23,Nantes,Clermont,H,8,4,4,1,15,11,1,3,1,0,1,1
2021-10-23,Lille,Brest,D,13,13,3,5,10,15,5,4,1,2,0,0
2021-10-24,Marseille,Paris SG,D,15,10,1,4,7,8,4,5,1,2,0,1
2021-10-24,Monaco,Montpellier,H,14,12,4,3,14,16,4,4,1,4,0,0
2021-10-24,Rennes,Strasbourg,H,17,8,3,2,6,11,11,6,1,2,0,0
2021-10-24,Reims,Troyes,A,18,7,5,4,14,13,7,1,4,2,1,0
2021-10-24,Lens,Metz,H,11,9,5,4,9,13,5,6,2,3,0,0
2021-10-24,Nice,Lyon,H,17,13,7,8,11,7,3,2,1,0,0,1
2021-10-24,Lorient,Bordeaux,D,14,11,4,5,12,13,9,4,4,2,0,1
2021-10-27,Nice,Marseille,D,11,7,3,1,16,8,6,5,2,2,0,0
2021-10-29,Paris SG,Lille,H,17,11,6,3,7,10,4,5,1,5,0,0
2021-10-30,Metz,St Etienne,D,9,10,4,3,16,11,5,8,0,3,0,0
2021-10-30,Lyon,Lens,H,13,18,4,10,7,13,3,5,1,2,0,0
2021-10-31,Angers,Nice,A,3,14,2,5,14,9,3,8,1,2,0,0
2021-10-31,Bordeaux,Reims,H,17,12,7,8,5,10,12,2,3,2,0,0
2021-10-31,Montpellier,Nantes,H,19,12,10,1,12,23,5,5,3,5,0,0
2021-10-31,Strasbourg,Lorient,H,15,5,6,0,12,10,6,3,1,0,0,0
2021-10-31,Troyes,Rennes,D,14,13,5,5,6,15,5,12,0,1,0,0
2021-10-31,Brest,Monaco,H,7,5,3,2,8,17,2,5,1,5,0,0
2021-10-31,Clermont,Marseille,A,12,9,1,4,14,11,4,2,1,4,0,0
2021-11-05,Lens,Troyes,H,28,14,12,6,14,8,4,2,1,1,0,0
2021-11-06,Lille,Angers,D,11,9,6,5,13,9,4,8,2,2,1,0
2021-11-06,Bordeaux,Paris SG,A,18,9,6,5,9,10,10,5,2,1,0,0
2021-11-07,Rennes,Lyon,H,25,6,12,4,12,12,7,2,2,2,0,0
2021-11-07,Nice,Montpellier,A,22,8,6,2,9,7,8,2,2,0,0,0
2021-11-07,St Etienne,Clermont,H,18,9,4,4,7,10,9,2,1,1,0,0
2021-11-07,Nantes,Strasbourg,D,20,17,6,6,15,12,9,5,2,1,0,1
2021-11-07,Lorient,Brest,A,9,16,3,5,10,8,3,6,1,1,1,0
2021-11-07,Marseille,Metz,D,15,12,3,4,8,9,9,7,1,3,0,1
