Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-08-21,Inter,Genoa,H,17,11,8,5,18,7,8,2,1,2,0,0
2021-08-21,Verona,Sassuolo,A,12,15,4,8,11,12,7,4,3,2,1,0
2021-08-21,Empoli,Lazio,A,16,8,5,5,13,10,5,3,2,1,0,0
2021-08-21,Torino,Atalanta,A,19,6,8,2,17,13,5,1,2,2,0,0
2021-08-22,Bologna,Salernitana,H,18,8,7,4,13,15,9,4,6,3,2,1
2021-08-22,Udinese,Juventus,D,11,11,6,4,11,12,3,3,1,3,0,0
2021-08-22,Napoli,Venezia,H,13,8,4,4,5,22,2,2,1,7,1,0
2021-08-22,Roma,Fiorentina,H,11,11,6,8,12,14,4,4,3,2,1,1
2021-08-23,Cagliari,Spezia,D,16,13,10,6,17,17,11,4,2,3,0,0
2021-08-23,Sampdoria,Milan,A,11,10,3,4,16,14,8,3,3,1,0,0
2021-08-27,Udinese,Venezia,H,18,8,10,3,11,8,7,2,2,3,0,0
2021-08-27,Verona,Inter,A,4,15,1,8,13,12,6,4,2,2,0,0
2021-08-28,Juventus,Empoli,A,20,9,6,3,11,6,8,9,2,3,0,0
2021-08-28,Fiorentina,Torino,H,10,4,7,1,13,28,3,3,4,5,0,0
2021-08-28,Atalanta,Bologna,D,21,3,3,1,11,14,5,5,2,5,0,0
2021-08-28,Lazio,Spezia,H,18,5,10,2,12,9,4,2,0,2,0,1
2021-08-29,Genoa,Napoli,A,7,12,3,8,17,15,4,5,2,3,0,0
2021-08-29,Sassuolo,Sampdoria,D,19,13,6,3,9,14,8,6,2,2,0,0
2021-08-29,Milan,Cagliari,H,17,6,5,2,12,11,8,3,1,5,0,0
2021-08-29,Salernitana,Roma,A,4,21,0,10,12,11,1,10,2,2,0,0
2021-09-11,Empoli,Venezia,A,17,10,6,3,12,21,8,2,2,5,0,0
2021-09-11,Napoli,Juventus,H,24,7,7,4,14,16,13,1,2,1,0,0
2021-09-11,Atalanta,Fiorentina,A,10,7,5,2,14,19,10,3,5,4,0,0
2021-09-12,Milan,Lazio,H,17,7,3,5,9,18,5,1,1,4,0,0
2021-09-12,Roma,Sassuolo,H,19,13,9,7,7,11,4,6,2,1,0,0
2021-09-12,Torino,Salernitana,H,15,7,7,2,10,11,7,4,0,2,0,0
2021-09-12,Sampdoria,Inter,D,12,8,3,3,12,13,4,4,4,4,0,0
2021-09-12,Cagliari,Genoa,A,8,9,3,3,15,15,2,6,2,3,0,0
2021-09-12,Spezia,Udinese,A,20,8,5,4,12,14,4,5,1,2,0,0
2021-09-13,Bologna,Verona,H,13,5,4,1,14,21,6,2,1,3,0,0
2021-09-17,Sassuolo,Torino,A,9,18,1,6,7,20,6,3,0,4,0,0
2021-09-18,Genoa,Fiorentina,A,9,16,3,5,13,16,1,11,4,4,0,0
2021-09-18,Inter,Bologna,H,19,7,11,2,10,9,5,1,0,3,0,0
2021-09-18,Salernitana,Atalanta,A,11,10,1,3,21,13,6,4,4,4,0,0
2021-09-19,Juventus,Milan,D,9,13,4,3,13,16,4,4,1,1,0,0
2021-09-19,Lazio,Cagliari,D,28,10,10,3,3,11,10,1,1,3,0,1
2021-09-19,Verona,Roma,H,10,15,6,2,14,13,3,8,4,2,0,0
2021-09-19,Empoli,Sampdoria,A,15,14,4,7,10,10,8,8,2,2,0,0
2021-09-19,Venezia,Spezia,A,14,12,3,3,13,10,3,10,4,1,0,0
2021-09-20,Udinese,Napoli,A,9,18,1,8,10,11,2,5,2,1,0,0
2021-09-21,Bologna,Genoa,D,17,11,6,6,14,15,7,2,3,4,0,0
2021-09-21,Atalanta,Sassuolo,H,14,8,5,1,17,16,5,5,2,2,0,0
2021-09-21,Fiorentina,Inter,A,14,17,6,5,11,15,4,8,2,3,1,0
2021-09-22,Milan,Venezia,H,15,8,4,2,12,13,4,4,0,2,0,0
2021-09-22,Salernitana,Verona,D,15,10,4,5,13,17,4,5,2,3,0,0
2021-09-22,Spezia,Juventus,A,10,26,5,9,14,10,5,15,2,1,0,0
2021-09-22,Cagliari,Empoli,A,16,17,1,5,15,13,7,4,2,1,0,0
2021-09-23,Roma,Udinese,H,12,8,2,3,22,8,6,6,4,1,1,0
2021-09-23,Sampdoria,Napoli,A,13,17,5,9,10,7,5,5,2,1,0,0
2021-09-23,Torino,Lazio,D,16,6,5,2,19,9,6,5,3,3,0,0
2021-09-25,Spezia,Milan,A,8,18,2,5,12,11,2,4,2,2,0,0
2021-09-25,Inter,Atalanta,D,19,23,6,5,13,11,4,11,3,5,0,0
2021-09-25,Genoa,Verona,D,10,12,4,7,13,13,3,2,3,2,0,0
2021-09-26,Juventus,Sampdoria,H,16,5,6,3,22,16,4,2,4,3,0,0
2021-09-26,Empoli,Bologna,H,15,20,7,5,15,22,2,10,2,2,0,0
2021-09-26,Sassuolo,Salernitana,H,17,12,6,5,16,16,4,8,3,3,0,0
2021-09-26,Udinese,Fiorentina,A,12,8,5,2,14,11,4,1,2,3,0,0
2021-09-26,Lazio,Roma,H,9,20,4,8,11,13,1,9,2,4,0,0
2021-09-26,Napoli,Cagliari,H,18,6,7,1,12,10,6,4,2,1,0,0
2021-09-27,Venezia,Torino,D,8,8,2,3,9,18,4,1,1,4,0,1
2021-10-01,Cagliari,Venezia,D,9,10,3,4,15,19,2,4,2,5,0,0
2021-10-02,Salernitana,Genoa,H,10,19,4,4,15,17,10,8,2,2,0,0
2021-10-02,Torino,Juventus,A,12,10,2,3,20,14,4,6,3,1,0,0
2021-10-02,Sassuolo,Inter,A,12,18,8,3,10,19,6,8,4,2,0,0
2021-10-03,Bologna,Lazio,H,10,8,3,4,5,16,3,3,2,5,0,1
2021-10-03,Sampdoria,Udinese,D,13,18,3,7,12,15,6,8,4,5,0,0
2021-10-03,Verona,Spezia,H,6,12,4,4,15,11,1,5,1,1,0,1
2021-10-03,Fiorentina,Napoli,A,10,12,3,6,16,13,8,2,3,3,0,0
2021-10-03,Roma,Empoli,H,18,11,7,3,11,16,5,5,2,3,0,0
2021-10-03,Atalanta,Milan,A,17,13,6,7,13,14,9,5,1,4,0,0
2021-10-16,Milan,Verona,H,17,10,4,5,11,20,5,4,1,4,0,0
2021-10-16,Spezia,Salernitana,H,18,15,5,4,13,15,10,2,2,3,0,0
2021-10-16,Lazio,Inter,H,19,12,8,4,12,12,7,3,3,6,1,0
2021-10-17,Cagliari,Sampdoria,H,12,17,5,3,14,18,5,9,4,2,0,0
2021-10-17,Empoli,Atalanta,A,13,22,6,7,10,15,5,4,3,2,0,0
2021-10-17,Genoa,Sassuolo,D,19,15,4,5,11,18,6,1,2,4,0,0
2021-10-17,Udinese,Bologna,D,10,23,2,11,15,11,2,8,3,7,1,0
2021-10-17,Napoli,Torino,H,10,11,3,3,6,20,3,4,2,4,0,0
2021-10-17,Juventus,Roma,H,6,14,2,4,18,13,0,6,3,5,0,0
2021-10-18,Venezia,Fiorentina,H,4,10,2,2,17,11,2,5,2,5,0,1
2021-10-22,Torino,Genoa,H,17,14,6,4,20,18,2,4,2,3,0,0
2021-10-22,Sampdoria,Spezia,H,6,17,2,7,9,9,0,8,3,1,0,0
2021-10-23,Bologna,Milan,A,9,15,4,7,7,15,4,1,1,3,2,0
2021-10-23,Salernitana,Empoli,A,12,11,6,6,11,16,7,1,1,3,0,0
2021-10-23,Sassuolo,Venezia,H,14,8,7,3,10,15,5,4,1,2,0,0
2021-10-24,Roma,Napoli,D,13,11,1,3,14,10,7,4,4,1,0,0
2021-10-24,Atalanta,Udinese,D,8,9,3,3,15,15,6,3,2,2,0,0
2021-10-24,Fiorentina,Cagliari,H,21,3,5,1,11,15,4,1,0,2,0,0
2021-10-24,Verona,Lazio,H,16,9,7,4,12,15,3,4,2,2,0,0
2021-10-24,Inter,Juventus,D,10,16,2,4,14,16,5,2,2,2,0,0
2021-10-26,Venezia,Salernitana,A,8,21,4,7,17,13,4,5,3,3,1,0
2021-10-26,Spezia,Genoa,D,13,9,3,2,12,16,3,3,2,4,0,0
2021-10-26,Milan,Torino,H,10,12,2,2,14,21,2,5,3,3,0,0
2021-10-27,Empoli,Inter,A,9,21,3,9,20,15,5,6,1,3,1,0
2021-10-27,Lazio,Fiorentina,H,5,9,2,1,16,11,3,6,3,3,0,0
2021-10-27,Cagliari,Roma,A,7,22,5,3,16,16,2,10,3,4,0,0
2021-10-27,Sampdoria,Atalanta,A,8,13,3,4,15,19,3,3,4,3,0,0
2021-10-27,Udinese,Verona,D,16,5,5,2,13,12,7,4,1,2,0,0
2021-10-27,Juventus,Sassuolo,A,14,8,3,4,21,15,4,4,1,5,0,0
2021-10-28,Napoli,Bologna,H,18,8,6,1,20,5,4,2,1,1,0,0
2021-10-30,Atalanta,Lazio,D,17,8,3,5,13,13,6,2,1,3,0,0
2021-10-30,Verona,Juventus,H,12,15,5,4,22,8,4,1,4,3,0,0
2021-10-30,Torino,Sampdoria,H,16,5,6,1,19,8,4,5,2,4,0,1
2021-10-31,Roma,Milan,A,24,8,6,3,19,13,6,2,4,7,0,1
2021-10-31,Salernitana,Napoli,A,9,18,3,3,11,13,4,4,0,2,1,1
2021-10-31,Sassuolo,Empoli,A,15,14,5,6,16,12,4,6,4,2,0,0
2021-10-31,Fiorentina,Spezia,H,27,3,12,0,9,20,7,4,4,3,0,0
2021-10-31,Inter,Udinese,H,15,9,6,5,9,11,6,4,0,2,0,0
2021-10-31,Genoa,Venezia,D,19,6,4,2,13,13,12,4,1,3,0,0
2021-11-01,Bologna,Cagliari,H,8,9,3,2,11,9,5,2,3,2,0,1
2021-11-05,Empoli,Genoa,D,10,15,2,7,8,21,4,5,0,4,0,0
2021-11-06,Spezia,Torino,H,7,9,3,1,15,17,2,3,3,3,0,0
2021-11-06,Juventus,Fiorentina,H,13,6,3,1,15,15,5,5,2,4,0,1
2021-11-06,Cagliari,Atalanta,A,7,21,1,8,11,9,2,7,1,1,0,0
2021-11-07,Napoli,Verona,D,16,11,1,3,16,19,3,2,2,7,0,2
2021-11-07,Lazio,Salernitana,H,16,5,5,0,7,14,5,1,1,2,0,0
2021-11-07,Milan,Inter,D,16,13,4,3,16,11,4,8,1,0,0,0
2021-11-07,Sampdoria,Bologna,A,10,14,4,7,14,12,6,5,4,1,0,0
2021-11-07,Venezia,Roma,H,13,27,7,10,12,18,4,11,2,2,0,0
2021-11-07,Udinese,Sassuolo,H,13,10,2,4,14,15,1,5,3,3,1,0
